instruct_resp_simon.keys,instruct_resp_simon.corr,instruct_resp_simon.rt,trial_resp_simon.keys,trial_resp_simon.corr,trial_resp_simon.rt,kerr,target_onset,target_color,target_pos,target_file,target_resp,trials_train_simon.thisRepN,trials_train_simon.thisTrialN,trials_train_simon.thisN,trials_train_simon.thisIndex,trials_train_simon.ran,odd_target_pos,even_target_pos,odd_target_resp,odd_target_file,even_target_file,even_target_resp,odd_target_side,even_target_side,participant,date,expName,psychopyVersion,OS,frameRate,train_block_note_resp.keys,train_block_note_resp.rt,blocks_train.thisRepN,blocks_train.thisTrialN,blocks_train.thisN,blocks_train.thisIndex,blocks_train.ran,instruct_resp_timing.keys,instruct_resp_timing.corr,instruct_resp_timing.rt,trial_resp_timing.keys,trial_resp_timing.rt,trials_train_timing.thisRepN,trials_train_timing.thisTrialN,trials_train_timing.thisN,trials_train_timing.thisIndex,trials_train_timing.ran,instruct_resp.keys,instruct_resp.corr,instruct_resp.rt,trial_resp.keys,trial_resp.corr,trial_resp.rt,trial_num,too_slow,too_soon,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,block_note_resp.keys,block_note_resp.rt,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran
space,0,138.9489,right,1,1.7315,0,0.505198228,#a3d0fb,"[""0.25"",""0""]",right_blue.png,right,0,0,0,1,1,,,right,right_blue.png,up_orange.png,up,right,up,5f1dea279f4818757f07f087,2021-09-11_17h32.48.145,arrow_simon_vert,2021.1.2,Win32,59.89817311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,down,1,0.969,0,0.081302255,#f3af84,"[""0"",""-0.25""]",down_orange.png,down,0,1,1,2,1,,,left,left_blue.png,down_orange.png,down,left,down,5f1dea279f4818757f07f087,2021-09-11_17h32.48.145,arrow_simon_vert,2021.1.2,Win32,59.89817311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,left,1,0.7695,0,0.029623427,#a3d0fb,"[""-0.25"",""0""]",left_blue.png,left,0,2,2,2,1,,,left,left_blue.png,down_orange.png,down,left,down,5f1dea279f4818757f07f087,2021-09-11_17h32.48.145,arrow_simon_vert,2021.1.2,Win32,59.89817311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,down,1,1.9222,0,0.448235778,#f3af84,"[""0"",""0.25""]",down_orange.png,down,0,3,3,3,1,,,left,left_blue.png,down_orange.png,down,right,up,5f1dea279f4818757f07f087,2021-09-11_17h32.48.145,arrow_simon_vert,2021.1.2,Win32,59.89817311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,right,1,1.2095,0,0.334517693,#a3d0fb,"[""-0.25"",""0""]",right_blue.png,right,1,0,4,0,1,,,right,right_blue.png,up_orange.png,up,left,down,5f1dea279f4818757f07f087,2021-09-11_17h32.48.145,arrow_simon_vert,2021.1.2,Win32,59.89817311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,down,1,1.6218,0,0.814554839,#f3af84,"[""0"",""0.25""]",down_orange.png,down,1,1,5,3,1,,,left,left_blue.png,down_orange.png,down,right,up,5f1dea279f4818757f07f087,2021-09-11_17h32.48.145,arrow_simon_vert,2021.1.2,Win32,59.89817311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,left,1,1.6047,0,0.91435758,#a3d0fb,"[""-0.25"",""0""]",left_blue.png,left,1,2,6,2,1,,,left,left_blue.png,down_orange.png,down,left,down,5f1dea279f4818757f07f087,2021-09-11_17h32.48.145,arrow_simon_vert,2021.1.2,Win32,59.89817311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,down,1,0.8027,0,0.022673584,#f3af84,"[""0"",""0.25""]",down_orange.png,down,1,3,7,3,1,,,left,left_blue.png,down_orange.png,down,right,up,5f1dea279f4818757f07f087,2021-09-11_17h32.48.145,arrow_simon_vert,2021.1.2,Win32,59.89817311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,right,1,1.6207,0,0.830331279,#a3d0fb,"[""-0.25"",""0""]",right_blue.png,right,2,0,8,0,1,,,right,right_blue.png,up_orange.png,up,left,down,5f1dea279f4818757f07f087,2021-09-11_17h32.48.145,arrow_simon_vert,2021.1.2,Win32,59.89817311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,down,1,1.3896,0,0.763845862,#f3af84,"[""0"",""0.25""]",down_orange.png,down,2,1,9,3,1,,,left,left_blue.png,down_orange.png,down,right,up,5f1dea279f4818757f07f087,2021-09-11_17h32.48.145,arrow_simon_vert,2021.1.2,Win32,59.89817311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
